2,Никита Орлова,55,98035₽
5,Александра Уваров,54,95199₽
6,Савелий Галкина,66,77027₽
12,Анастасия Серова,41,84488₽
14,Григорий Ларионова,56,87992₽
16,Максим Петров,76,58064₽
19,София Николаева,43,76323₽
22,Арина Исаков,58,72716₽
25,Агата Соколов,63,74778₽
26,Илья Осипова,43,92797₽
28,Агния Степанов,43,58134₽
29,Андрей Муравьев,52,70506₽
33,Павел Максимов,52,68602₽
34,Евгений Ефимова,34,95882₽
35,Макар Галкина,63,81963₽
37,Матвей Косарев,65,85090₽
38,Борис Иванова,33,71394₽
39,Андрей Окулов,44,67632₽
41,Ника Синицын,70,66493₽
45,Агата Царев,35,66312₽
46,Адам Воробьев,74,93039₽
51,Агния Панкова,36,93841₽
53,Руслан Комаров,54,60035₽
55,Наталья Лазарев,39,61039₽
56,Оливия Сергеева,69,91449₽
